N,m,\textbf{1},\textbf{2},\textbf{3},\textbf{4},\textbf{5}
100,3,37.1 (4.9),37.5 (4.4),38.3 (3.7),38.8 (3.5),39.2 (3.7)
150,3,37.1 (4.9),37.5 (4.4),38.3 (3.7),38.8 (3.5),39.2 (3.7)
200,3,37.1 (4.9),37.5 (4.4),38.3 (3.7),38.8 (3.5),39.2 (3.7)
250,3,37.1 (4.9),37.5 (4.4),38.3 (3.7),38.8 (3.5),39.2 (3.7)
300,3,37.1 (4.9),37.5 (4.4),38.3 (3.7),38.8 (3.5),39.2 (3.7)
50,3.1,35.0 (4.7),35.4 (4.2),36.2 (3.3),36.6 (3.3),36.9 (3.2)
100,3.1,35.0 (4.7),35.5 (4.2),36.3 (3.4),36.7 (3.3),37.0 (3.2)
150,3.1,35.0 (4.7),35.5 (4.2),36.3 (3.3),36.7 (3.3),37.0 (3.2)
200,3.1,35.0 (4.7),35.5 (4.2),36.3 (3.3),36.7 (3.3),37.0 (3.2)
250,3.1,35.0 (4.7),35.5 (4.2),36.3 (3.3),36.7 (3.3),37.0 (3.2)
300,3.1,35.0 (4.7),35.5 (4.2),36.3 (3.4),36.7 (3.3),37.0 (3.2)
50,3.2,33.7 (4.5),34.1 (4.0),35.0 (3.1),35.3 (3.2),35.4 (3.0)
100,3.2,33.7 (4.5),34.1 (4.0),35.0 (3.1),35.3 (3.2),35.5 (3.0)
150,3.2,33.7 (4.5),34.1 (4.0),35.0 (3.1),35.3 (3.2),35.5 (3.0)
200,3.2,33.7 (4.5),34.1 (4.0),35.0 (3.1),35.3 (3.2),35.5 (3.0)
250,3.2,33.7 (4.5),34.1 (4.0),35.0 (3.1),35.3 (3.2),35.5 (3.0)
300,3.2,33.7 (4.5),34.1 (4.0),35.0 (3.1),35.3 (3.2),35.5 (3.0)
50,3.3,32.8 (4.4),33.0 (3.9),33.9 (2.9),34.1 (3.1),34.2 (2.7)
